group_id,user_id,candidate_subtopic_code,user_level_num,practical_experience_num,learning_goal_num,time_commitment_minutes,completed_subtopics_count,completion_ratio,average_best_score_percent,average_all_attempts_score_percent,last_quiz_score,failed_quiz_count,days_since_last_activity,candidate_level_num,candidate_topic_order_index,candidate_subtopic_order_index,candidate_estimated_minutes,is_preferred_topic,is_same_topic_as_last_completed,is_next_subtopic_in_same_topic,is_first_subtopic_in_topic,is_level_match,is_time_commitment_match,is_topic_not_started,is_topic_in_progress,need_reinforcement,last_score_for_candidate,best_score_for_candidate,attempts_for_candidate,relevance
1,1,income_expenses,1,2,1,5,8,0.32,78.48,51.15,32.24,3,22,0,1,1,5,0,0,0,1,1,1,0,1,1,72.61,72.61,4,0
1,1,fixed_variable_expenses,1,2,1,5,8,0.32,78.48,51.15,32.24,3,22,0,1,2,5,0,0,0,0,1,1,0,1,1,60.28,86.84,4,0
1,1,expense_accounting,1,2,1,5,8,0.32,78.48,51.15,32.24,3,22,0,1,3,5,0,0,0,0,1,1,0,1,1,90.94,90.94,3,0
1,1,budgeting_rule_50_30_20,1,2,1,5,8,0.32,78.48,51.15,32.24,3,22,0,1,4,5,0,0,0,0,1,1,0,1,1,73.07,73.07,4,0
1,1,budget_analysis,1,2,1,5,8,0.32,78.48,51.15,32.24,3,22,0,1,5,5,0,0,0,0,1,1,0,1,1,91.89,91.89,1,0
1,1,why_save,1,2,1,5,8,0.32,78.48,51.15,32.24,3,22,0,2,1,5,0,1,0,1,1,1,0,1,1,99.19,99.19,4,0
1,1,emergency_fund,1,2,1,5,8,0.32,78.48,51.15,32.24,3,22,0,2,2,10,0,1,0,0,1,0,0,1,1,31.39,80.85,2,0
1,1,how_to_save,1,2,1,5,8,0.32,78.48,51.15,32.24,3,22,0,2,3,10,0,1,0,0,1,0,0,1,1,78.68,78.68,1,0
1,1,interest_on_savings,1,2,1,5,8,0.32,78.48,51.15,32.24,3,22,0,2,4,10,0,1,1,0,1,0,0,1,1,-1,-1,0,2
1,1,saving_mistakes,1,2,1,5,8,0.32,78.48,51.15,32.24,3,22,0,2,5,5,0,1,0,0,1,1,0,1,1,-1,-1,0,2
